// lang CZE
// ver 0.891
// for game ver 1.0b
// author rcx
// in progress - editor
// Codes can't start with : §, -, 0-9

//===System Errors
AssertCheck	---
TrRetaliate	Okamžitě ustoupí, díky blokování sníží příchozí fyzické poškození o {Retaliate Dmg}. Lehce zvyšuje hrozbu.\n\nNavíc zvyšuje o {Damage G} účinek uzdravování na základě dovednosti [>TlHolyAtonement].
TlCounter	Protiútok
TrCounter       Zvyšuje [>Haste] o {Counter} na {Counter DotLength} po každém úspěšném održeném útoku. Může být opakováno až {Counter MaxStack} krát po sobě.
TlMenacingEyes	Uhrančivé oči
TrMenacingEyes	Zvyšuje hrozbu všech Tvách přímých poškození o {TalentX}.
TlMageKiller	Likvidátor mágů
TrMageKiller	Zvyšuje odolnost proti veškerému magickému poškození o {ResFire}.\n\nNavíc zvyšuje účinek dovednosti [>AbSealOfContrition] - hrozba se zvýší o {HigherThreat}.

//=== Warrior - Man at Arms
TlManAtArms	[>SpecManAtArms]
TrManAtArms	Zvyšuje poškození způsobené obouručními zbraněmi o {WarArmsRoot}.
TlHardStrike	Mistrovský úder // Improved Hard Strike
TrHardStrike	Zvyšuje šanci na KZ pro [>AbHardStrike] o {CritChance}.
TlImpale	Nabodnutí
TrImpale	Zvyšuje bonusovou složku šance na KZ u dovedností o {CritDamage}.
TlDeepWound	Hluboké rány
TrDeepWound	V případě úspěšného KZ bude nepřítel krvácet po dobu {Bleeding DotLength} - poškození bude {TalentX B} průměrného poškození způsobeného Tvojí zbraní. Může být opakováno až {Bleeding MaxStack} krát po sobě.
TlExecute	Důkladnost
TrExecute	Pokud klesne nepřítelovo zdraví pod 25%, pak poškození způsobené dovedností [>AbDeadlyAssault] je zvýšeno o {Damage}.
TlDoomDrum	[>AbDoomDrum]
TrDoomDrum	Přidá dovednosti [>AbWarCry] efekty podobné dovednosti [>AbDoomDrum] - Sníží nepříteli hodnotu vlastnosti [>AP] o {DoomDrum} na {DoomDrum DotLength}.
TlLustForBlood	Krvelačnost
TrLustForBlood	Pokud nepřítel krvácí, pak veškeré přímé poškození způsobené dovednostmi bude zvýšeno o {Damage}.
TlFriendlyFace	Milá tvář
TrFriendlyFace	Snižuje hrozbu plynoucí přímých poškození o {TalentX}.
TlSpec1H	Jednoručka
TrSpec1H	Při boji jednoruční zbraní zvyšuje poškození o {Damage}.
TlSpec2H	Pod obojí
TrSpec2H	Při boji obouruční zbraní zvyšuje o {Damage}.\n\nNavíc snižuje o {LowerManaCost} spotřebu many na [>AbCrusaderAssault].
TlMeatPounder	[>AbMeatPounder]
TrMeatPounder	Po [>AbSwipe] se provede [>AbHardStrike], který bude 1 nepřítele drtit po dobu {MeatPounder DotLength}.
TlGoodPatient	Dobrý pacient
TrGoodPatient	Zvyšuje příchozí léčení o {IncreaseHealing}.
TlTitanGrip	Titánův úchop
TrTitanGrip	Umožnuje vzít do každé ruky obouruční zbraň.

//=== Warrior - Paladin
TlPaladin	[>SpecPaladin]
TrPaladin	Zvyšuje množství many o {TalentX} Tvého zdraví (bez bonusů).
TlEnlightment	Osvícení
TrEnlightment	Zvyšuje množství many o {TalentX} Tvého zdraví (bez bonusů).
TlScarification	Zjizvení
TrScarification	Zvyšuje sílu Tvých kouzel o {TalentX} Tvé [>AP].
TlGodsAreWithUs	Bohové jsou s námi
TrGodsAreWithUs	Každý úspěšný KZ Tě uzdraví o {TalentX} z Tebou způsobeného poškození.
TlHolierBarrier	[>AbHolierBarrier]
//TrHolierBarrier	Zvyšuje ochranu získanou dovedností [>HolyBarrier] o {ResHoly}.
TlSealOfRepentance	[>AbSealOfRepentance]
TrSealOfRepentance	Pokud použiješ dovednost [>AbSealOfContrition], použije se i [>AbSealOfRepentance], čímž se zvýší šance na KZ všech příchozích útoků o {SealOfRepentance}.
TlHolyAtonement	Svaté souznění
TrHolyAtonement	Pokud použiješ dovednost [>AbHolierBarrier], pak se i uzdravíš o {HolyAtonement Dmg} HP.
TlAngerOfGods	Hněv boží
TrAngerOfGods	Zvyšuje šanci na KZ dovedností [>AbDivinePunishment] o {CritChance} a poškození způsobené dovedností [>AbSealOfContrition] o {Damage}.
TlWrathOfTheJust	Spravedlivý hněv
TrWrathOfTheJust	Pokud máš štít, tak veškeré fyzické poškození bude zvýšeno o {Damage}.
TlSpiritualShock	[>AbSpiritualShock]
TrSpiritualShock        Pokud dovedností [>AbCrusaderAssault] zasáhneš 3 a více nepřátel, pak 1 z nich bude ochromen na {SpiritualShock DotLength}. Nelze opakovat častěji než jednou za půl minuty (30s).
TlSeraphicIntervention	[>AbSeraphicIntervention]
TlJusticeForAll	Spravedlnost pro všechny
TrJusticeForAll	Zvyšuje poškození způsobené dovednostmi [>AbHammerOfJustice] a [>AbOverwhelmingBlow] o {Damage}.
TlNoSacrificeInVain	[>AbNoSacrificeInVain]
TrNoSacrificeInVain	Pokud použiješ dovednost [>AbSaintlySacrifice], pak se použije i dovednost [>AbNoSacrificeInVain], která Tě po uplynutí {NoSacrificeInVain DotLength} uzdraví o {NoSacrificeInVain DotEndDmg} HP.

//=== Rogue - Assassin
TlAssassin	[>SpecAssassin]
TrAssassin	Zvyšuje poškození založené na přírodní magii o {Damage}.
TlToxicKnife	Jedovatý nůž
TbToxicKnife	Při KZ dovedností [>AbSwiftKnife] přidá [>AbPoison], který způsobí poškození {Poison DotTotalDmg} HP za {Poison DotLength}. Může být opakováno až {Poison MaxStack} krát po sobě.
TrToxicKnife	Zvyšuje šanci na KZ u dovednosti [>AbSwiftKnife] o {CritChance}.
TlSmoothCriminal	Jako samet
TrSmoothCriminal	Snižuje hrozbu pro všechna přímá poškození o {TalentX}, plus snižuje hrozbu u dovedností [>AbSweepingBlow] a [>AbDeepCut] o {LowerThreat:RogueAssSmoothCriminalB}.
TlDaggerSpecialist	Stileto
TrDaggerSpecialist	Zvyšuje poškození způsobená dýkou o {Damage} a poškození u dovednosti [>AbSwiftKnife] o {Damage:RogueAssDaggerSpecialistB}.
TlUnstoppable	Nezastaviteln[:ý|á]
TrUnstoppable	Každý KZ, který přidává [>ComboPoints] bude mít {Talent RogueAssUnstoppable Condition Random} šanci získat navíc 1 [>ComboPoint].
TlPoisonedBlade	Jedovatá čepel
TrPoisonedBlade	Poškození způsobené dovedností [>AbDreadfulJab] má {Talent RogueAssPoisonedBlade Condition Random} šanci přidat účinky dovednosti [>AbPoison], které budou způsobovat nepříteli poškození {Poison DotTotalDmg} HP po dobu {Poison DotLength}. Může být opakováno až {Poison MaxStack} krát po sobě.
TlCurare	Špetka kurare		// wordplay: Pinch of Salt
TrCurare	Zvyšuje poškození u dovednosti [>AbPoison] o {Damage}.
TlSnakeTouch	Dotek hada
TrSnakeTouch	Každý automatický útok má {Talent RogueAssSnakeTouch Condition Random} šanci přidat účinky dovednosti [>AbPoison], které budou způsobovat nepříteli poškození {Poison DotTotalDmg} HP po dobu {Poison DotLength}. Může být opakováno až {Poison MaxStack} krát po sobě.
TlNeverEndingStory	Nekonečný příběh	// Name of the movie
TrNeverEndingStory	Všechny akce spotřebovávající útočné body budou mít {Talent RogueAssNeverEndingStory Condition Random} šanci vrátit 1 [>ComboPoint] zpět.
TlSideAttack	Bokovka
TrSideAttack	Úspěšné zásahy dovedností [>AbDreadfulJab], umožní doplňkovou ránu levačkou okolním nepřátelům za {DreadfulJabOffHand Dmg} poškození.\n\nNavíc zlepší vlastnost [>Agi] o {Agility f}.
TlTraumatologist	Chirurg
TrTraumatologist	Zvyšuje bonus pro KZ chladnou zbraní o {TalentX B}.
TlBloodAddict	Krvelačnost
TrBloodAddict	Úspěšný zásah dovedností [>AbExecute] prodlužuje účinek dovednosti [>AbKillingSpree] o {Eval TalentX * 6}s za každý [>ComboPoint].

//=== Rogue - Duelist
TlDuelist	[>SpecDuelist]
TrDuelist	Zvyšuje šance na [>Dodge] a [>Parry] o {Dodge}.
TlReinforcedLeather	Druhá kůže
TrReinforcedLeather	Zvyšuje hodnotu vlastností typu [>ArmorRating] získanou z vybavení o {Armor}.
TlSlipperyFish	[>AbSlipperyFish]
TrSlipperyFish	Snižuje šance na přímý KZ proti Tobě o {LowerCritChance} a pokud se nepříteli podařil KZ, tak se aktivuje dovednost [>AbSlipperyFish], která zvyšuje šanci na [>Dodge] o {SlipperyFish} na {SlipperyFish DotLength}.
TlSleightOfHand	[>AbSleightOfHand]
TrSleightOfHand	Zásahy způsobené automatickým útokem mají {Talent RogueDuelSleightOfHand Condition Random} přidat účinky dovednosti [>AbSleightOfHand] - Sníží nepříteli hodnotu vlastnosti [>AP] o {SleightOfHand} na {SleightOfHand DotLength}. Může být opakováno až {SleightOfHand MaxStack} krát po sobě.
TlEscapeArtist	Akrobat // Escape Artist
TrEscapeArtist	Zvyšuje hodnotu vlastností typu [>ArmorRating] o {ArmorFromAgi f} (v závislosti na hodnotě vlastnosti [>Agi]).
TlRiposte	Riposta
TrRiposte	Pokud úspěšně odrazíš útok nepřítele, pak máš {Talent RogueDuelRiposte Condition Random} šanci aktivaci dovednosti [>AbRiposte], která zvyšuje fyzické poškození o {Riposte B} na {Riposte DotLength}.
TlInfectedWound	Zanícená rána
TrInfectedWound	Natáhne časovač dovednosti [>AbDeepCut] o {AddDotTick f} tik(y). Navíc dovednost [>AbLunge] získá šanci {Talent RogueDuelInfectedWoundB Condition Random} šanci prodloužit účinek dovednosti [>AbDeepCut] - platí pouze pokud je vybraný nepřítel touto dovedností již zasažen.
TlTillTheLastDrop	Do poslední kapky
TrTillTheLastDrop	Zvyšuje hodnotu vlastnosti [>HP] o {HP}.
TlAggressiveStance	Hrozivý postoj
TrAggressiveStance	Zvyšuje hrozbu všech Tvých přímých poškození o {TalentX}.
TlGoneWithTheWind	Vítr z hor	// Movie Title
TrGoneWithTheWind	Pokud Tě zasáhne projektil, pak máš {Talent RogueDuelGoneWithTheWind Condition Random} šanci vyváznout bez poškození. Situace se nesmí se opakovat častěji než jednou za 20 s.
TlStingLikeBee	Bodej jako včela	// Muhammad Ali's quote
TrStingLikeBee	Pokud nemáte štít, pak zvyšuje šanci na [>Dodge] a [>Parry] o {StingLikeBee}.\nNavíc zvyšuje hrozbu dovednosti [>AbSwiftKnife] o {HigherThreat:RogueDuelStingLikeBeeB} a poškození způsobené dovedností [>AbDoubleShot] o {Damage}.
TlDualDrill	Dvojitý záběr
TrDualDrill	Pokud nemáš štít, pak zásahy způsobené dovedností [>AbPiercingStrike] poškodí zbraní v levičce některého z nepřátel poblíž - přednostně se zaměřuje na nepřátele, na které neútočíš.
TlTastierBlood	Jak chutná krev
TrTastierBlood	Zvyšuje léčení způsobené dovedností [>AbRecovery] o {IncreaseHealing}.

//=== Rogue - Ranger
TlRanger	[>SpecRanger]
TrRanger	Zvyšuje hodnotu vlastnosti [>Agi] o {AgilityMultiply}.
TlQuickAim	Rychlá muška
TrQuickAim	Zvyšuje [>Haste] o {Haste}.
TlFocusedHunting	Odhodlaný lovec // Focused Hunting
TrFocusedHunting	Zvyšuje [>RAP] o {RapFromAwa f} (v závislosti na hodnotě vlastnosti [>Awa]).
TlMarksman	Ostrostřelec
TrMarksman	Zvyšuje poškození způsobené dovednostmi [>AbSniperShot] a [>AbDoubleShot] o {Damage}, navíc Tvé úspěšné automatické útoky mají šanci {Talent RogueRangerMarksmanB Condition Random} Ti přidat 1 [>ComboPoint].
TlHunterTracking	[>AbHunterTracking]
TrHunterTracking	Snižuje všechny Tvoje hrozby o {LowerThreat}.
TlHardenedSteel	Kalená ocel
TrHardenedSteel	KZ způsobené Tvými dovenostmi akivují [>AbHemorrhage], čímž způsobí nepříteli poškození {TalentX B} původního poškození během {Hemorrhage DotLength}.
TlFrenzyStreak	Divoký útok
TrFrenzyStreak	Poškození zppůsobené automatickým útokem se zvyšuje o {TalentX B} za každý nasbíraný [>ComboPoint].
TlRepeatingShot	Repete
TrRepeatingShot	Automatický útok palnou zbraní má {Talent RogueRangerRepeatingShot Condition Random} šanci vyslat další projektil.
TlMaimThenKill	[>AbMaimThenKill]
TrMaimThenKill	KZ způsobené dovedností [>AbInstinctShot] aktivují [>AbMaimThenKill], čímž zvýší poškození plynoucí z dovednosti [>AbSniperShot] o {TalentX B} na {MaimThenKill DotLength}.
TlSharpShooter	Ostrostřelec
TrSharpShooter	Zvyšuje bonus pro KZ palnou zbraní o {TalentX B} a poškození způsobené dovedností [>AbSwiftKnife] o {Damage}.
TlHeavyBarrage	Kanonáda // Heavy Barrage
TrHeavyBarrage	Zvyšuje poškození způsobené dovedností [>AbVolleyOfArrows] o {Damage} a šanci na KZ dovedností [>AbDoubleShot] o {CritChance}.
TlSurvivalInstinct	Pud sebezáchovy
TrSurvivalInstinct	Pokud je aktivní dovednost [>AbNightOfTheHunter], pak veškeré příchozí poškození je sníženo o {LowerDamage}.

//=== Mage - Elementalist
TlElementalist	[>SpecElementalist]
TrElementalist	Zvyšuje o {CritChance} šanci na KZ u útoků jejichž základem je [>DmgFire] & [>DmgFrost].
TlSpeedyEle	Rychlé ruce // Swift Elements
TrSpeedyEle	Snižuje čas potřebný na [>AbFrostbolt], [>AbFireball] a [>AbArcaneBurst] o {AbsoluteSpeed f} s.
TlIgnite	[>AbIgnite]
TrIgnite	KZ dovedností [>AbFireball] zapálí nepřítele a způsobí mu {TalentX B} původního poškození po dobu {Ignite DotLength}.\nNavíc zvyšuje poškození způsobené dovedností [>AbHellFire] o {Damage}.
TlIceShield	[>AbIceShield]
TlWaterfallShield	Vodopád
TrWaterfallShield	Když použiješ dovednost [>AbIceShield], pak zbytek bandy bude chránit dovednost [>AbWaterShield].
TlHappyRain	Láska k dešti // Only Happy When it Rains
TrHappyRain	Zvyšuje poškození způsobené dovedností [>AbRainOfFire] o {Damage} a zároveň snižuje pauzu mezi použitími o {CoolDown}.
TlChainSmoking	Řetězová reakce // Chain Smoking
TrChainSmoking	Snižuje množství many potřebné k použití dovedností o {LowerManaCost} a jejich hrozbu o {LowerThreat}.
TlBurnBabyBurn	Hoř plamínku, plápolej // Burn Baby Burn
TrBurnBabyBurn	Snižuje množství many potřebné k použití dovednosti [>AbScorch] o {LowerManaCost} a zvyšuje její poškození o {Damage}.
TlFullCombustion	Zpopelnění // Full Combustion
TrFullCombustion	Zvyšuje poškození způsobené dovednostmi jejichž základem je [>DmgFire] o {Damage}.
TlKnockCold	Berla Mrazilka // Knock Cold
TrKnockCold	Zvyšuje poškození způsobené KZ dovednostmi jejichž základem je [>DmgFrost] {CritDamage} a snižuje množství many potřebné k použití dovednosti o {LowerManaCost}.
TlFlashFreezing	Oslepující mráz // Flash Freezing
TrFlashFreezing	Nepřítel zasažený dovedností [>AbIceblast] bude mít hodnotu vlastnosti [>Haste] sníženu o {FlashFreezing} na {FlashFreezing DotLength}.
TlIceStorm	Ledová bouře
TrIceStorm	Každá dovednost bude mít {Talent MageEleFlashIceStorm Condition Random} šanci vynulovat pauzu mezi použitími dovednosti [>AbIceblast].
TlSelfFulfillment	Spokojenost // Self-Fulfillment
TrSelfFulfillment	Magií způsobený KZ vrací {TalentX} many potřebné k použití dovednosti, která KZ způsobila.
TlCauterize	[>AbCauterize]
TrCauterize	Pokud se Tvé zdraví dostane na <color=red>0</color>, tak se uzdravíš o {TalentX} svého maximálního zdraví, ale po dobu {Cauterize DotLength} budeš tráven[:|a] ohněm až do poškození {TalentX B 2} tvého maximálního zdraví.\nNemělo by se opakovat častěji než jednou za minutu.

//=== Mage - Warlock
TlWarlock	[>SpecWarlock]
TrWarlock	Zvyšuje poškození u útoků jejichž základem je [>DmgShadow] o {Damage}.
TlMovingShadows	Pohyblivé stíny
TrMovingShadows	Snižuje čas potřebný na [>AbShadowBall] a [>AbDominate] o {AbsoluteSpeed f} s.
TlMoreTorment	Větší muka
TrMoreTorment	Zvyšuje o {Damage} poškození způsobené dovedností [>AbTorment].
TlPiercingCurse	Bodavá klatba
TrPiercingCurse	Každá dovednost, která má poškození rozložené v čase (má časovač), získá {DotCritChance} Tvé šance na KZ.
TlGloomyDoom	Zářivá pohroma
TrGloomyDoom	Zvyšuje šance na KZ dovednosti [>AbDirePlague] o {CritChance}.
TlMakeItWorthThePain	Ať to za to stojí
TrMakeItWorthThePain	Zvyšuje o {DamageMana G} množství many získané dovedností [>AbLethalEmpowerment], poškození se nemění.
TlOvercooked	Od kosti
TrOvercooked	Zvyšuje o {Talent MageLockOvercooked Var B %} délku trvání a poškození způsobené dovedností [>AbHellFire].
TlSpiritSiphon	Spirit Siphon
TrSpiritSiphon	Každý tik časovače dovednosti [>AbTorment] má {Talent MageLockSpiritSiphon Condition Random} šanci Ti vyléčit {TalentX} z Tvého maximálního zdraví.
TlAcutePain	Strašná bolest
TrAcutePain	Zvyšuje poškození plynoucí z KZ u útoků jejichž základem je [>DmgShadow] a [>DmgFire] o {CritDamage}.
TlDrainDry	Do sucha
TrDrainDry	Zvyšuje účinek dovednosti [>AbDrainLife] o {Damage} za každý dopad Tvých dovedností na vybraného nepřítele.\n\nNavíc sníží všechny Tvé hrozby o {LowerThreat}.
TlUnendingTorment	Nekonečná muka
TrUnendingTorment       Dovednosti [>AbDominate] a [>AbShadowBall] získají {Talent MageLockUnendingTorment Condition Random} šanci prodloužit účinek dovednosti [>AbTorment] - platí pouze pokud je vybraný nepřítel touto dovedností již zasažen.
TlBattleMage	Bojový mág
TrBattleMage	Zvyšuje o {TalentX} Tvé maximální zdraví a způsobené fyzické poškození o {Damage}.
TlDarkWisdom	Moudrost temnoty
TrDarkWisdom	Zvyšuje o {TalentX} Tvé maximální množství many.

//=== Mage - Arcanist
TlArcanist	[>SpecArcanist]
TrArcanist	Zvyšuje poškození u útoků jejichž základem je [>DmgArcane] o {Damage}.
TlFasterThanLight	Rychlejší než světlo
TrFasterThanLight	Zvyšuje hodnotu vlastnosti [>Haste] o {Haste}.
TlArcaneFusion	[>AbArcaneFusion]
TrArcaneFusion	Zásahy způsobené dovednostmi [>AbArcaneRupture] & [>AbArcaneImplosion] mají {Talent MageArcaneFusion Condition Random} šanci aktivovat dovednost [>AbArcaneFusion], která způsobí nepříteli poškození {ArcaneFusion DotTotalDmg} HP po dobu {ArcaneFusion DotLength}, toto může být zopakováno až {ArcaneFusion MaxStack} krát po sobě.
TlSurvivalOfTheFittest	Přežije nejlepší
TrSurvivalOfTheFittest	Protáhne účinek dovednosti [>AbArcaneArmor] o {AddDotTick ExtraTime ArcaneArmor}.
TlMentalArmor	Duševní zbroj
TrMentalArmor	Zvyšuje hodnotu vlastností typu [>ArmorRating] o {MentalArmor} a odolností o {MentalResistance f}% (v závislosti na hodnotě vlastnosti [>Wil]).
TlEthericEnergy	[>AbEthericEnergy]
TrEthericEnergy	Dovednosti způsobující poškození mají {Talent MageArcaneEthericEnergy Condition Random} šanci aktivovat dovednost [>AbEthericEnergy], která snižuje množství many potřebné k použití dovednosti o {EthericEnergy} na {EthericEnergy DotLength}.
TlEthericCelerity	Jako vítr
TrEthericCelerity	Je-li aktivní dovednost [>AbEthericEnergy], pak hodnota vlastnosti [>Haste] je zvýšena o {Haste}.
TlEthericConvergence	Duševní jednota
TrEthericConvergence	Je-li aktivní dovednost [>AbEthericEnergy], pak hodnota [>ManaCbRg] je zvýšena o {TalentX}.
TlEsotericAlteration	Zásah shůry
TrEsotericAlteration	Prodlouží účinek dovednosti [>AbEsotericConnection] o {AddDotTick ExtraTime EsotericConnection}.
TlMultipleRupture	Násobný výbuch
TrMultipleRupture	Snižuje pauzu mezi použitími dovednosti [>AbArcaneRupture] o {CoolDown} a množství many potřebné k použití dovednosti o {LowerManaCost}.
TlManaAddict	Závislost na maně
TrManaAddict	Zvyšuje poškození až o {TalentX}, v závislosti na zbývající maně.
TlImplosionDust	Spad
TrImplosionDust	Při KZ způsobeném dovedností [>AbArcaneImplosion] obnoví {TalentX} Tvého maximálního množství many.\n\nNavíc sníží všechny Tvé hrozby o {LowerThreat}.

//=== Healer - Druid
TlDruid		[>SpecDruid]
TrDruid		Zvyšuje regeneraci many o {ManaRegen} - neplatí pro boj.
TlClearState	Čisté úmysly
TrClearState	Zvyšuje šanci na KZ pro uzdravení o {CritChance G}.
TlAcutePersistance	Úpornost
TrAcutePersistance	Přidá každému dlouhodobému léčení šanci na KZ (znásobení zdraví).
TlMeditation	Meditace
TrMeditation	Zvyšuje regeneraci many v boji o {CombatManaRegen}.
TlWildRegrowth	[>AbWildRegrowth]
TrWildRegrowth	Při použití dovednosti [>AbRegrowth], je aktivována dovednost [>AbWildRegrowth] - cílem je spoluhráč s nejměnším zdravím - uzdraví ho o {TalentX} z [>AbRegrowth] během {WildRegrowth DotLength}.
TlDanceOfStars	[>AbDanceOfStars]
TrDanceOfStars	Po skončení působení dovednosti [>AbDanceOfGaia] aktivuje dovednost [>AbDanceOfStars] a uzdraví členy bandy o {TalentX} původního léčení během {DanceOfStars DotLength}.
TlEternalBloom	Vnitřní rozpuk
TrEternalBloom	Po skončení působení dovednosti [>AbLifeBloom] vrátí {TalentX} množství many potřebného ke svému použití zpět. Může být zopakováno až 3 krát po sobě.
TlHigherState	Vyšší úroveň vědomí
TrHigherState	Zvyšuje hodnotu vlastnosti [>Awa] o {Awareness}.
TlNaturalWay	Přirozenou cestou
TrNaturalWay	Zvyšuje účinky dovedností [>AbHeal] a [>AbRegrowth] o {Damage G}.
TlBarkskin	Hroší kůže
TrBarkskin	Zvyšuje odolnost o {ResHoly} a snižuje hrozbu všech dovedností přidávajících zdraví o {LowerThreat}.
TlRegrowthMana	[>AbRegrowthMana]
TrRegrowthMana	Každý tik časovače dovednosti [>AbRegrowth] má šanci 1% Ti obnovit {TalentX} z Tvého maximálního množství many během {RegrowthMana DotLength}.

TlSelfPreservation	Pud sebezáchovy
TrSelfPreservation	Pokud Tvé zdraví klesne pod {Talent HealDruidSelfPreservation Condition HpRatio} budeš mít {Talent HealDruidSelfPreservation Condition Random} šanci na aktivaci dovednosti [>AbRegrowth] s nulovou spotřebou many.
TlPurifiedRain	Očistný déšť
TrPurifiedRain	Snižuje pauzu mezi použitími dovednosti [>AbRainOfLife] o {CoolDown}, množství many potřebné k použití dovednosti o {LowerManaCost} a hrozbu této dovednosti o {LowerThreat}.

//=== Healer - Priest
TlPriest	[>SpecPriest]
TlExtendedProtection	Mocnější ochrana
TrExtendedProtection	Pokud je dovednost [>AbRighteousShield] předčasně ukončena nepřítelem, pak je {Talent HealPriestExtendedProtection Condition Random} šance, že na někoho z bandy bude aplikována dovednost [>AbRenew].
TlStrongerShield	Vylepšený štít
TrStrongerShield	Zvyšuje o {Talent HealPriestStrongerShield Var G %} poškození pohlcené dovedností [>AbRighteousShield].
TlAbsolution	Absolutorium
TrAbsolution	Snižuje pauzu mezi použitími dovednosti [>AbRighteousShield] o {CoolDown}.
TlHolyDiligence	[>AbHolyDiligence]
TrHolyDiligence	Při každém použití dovednosti [>AbRighteousShield] zvýší hodnotu vlastnosti [>Haste] o {HolyDiligence} na {HolyDiligence DotLength} a dobu přípravy na dovednost [>AbPrayerOfRedemption] o {AbsoluteSpeed f} s.
TlStrongerFaith	Silná je víra
TrStrongerFaith	Zvyšuje o {Damage G} účinky dovedností [>AbBlessedSpirit], [>AbFlashHeal] a [>AbTwinHeal].
TlSpiritualCommunion	Duševní jednota
TrSpiritualCommunion	Pokud Tvé léčivé dovednosti zaznamenají KZ, pak je navíc aplikována dovednost [>AbSpiritualEffervescence], která vstřebá až {TalentX} za {SpiritualEffervescence DotLength}. Opakování není omezeno.
TlArchangelWatch	[>AbArchangelWatch]
TrArchangelWatch	Při každém příchozím poškození použije dovednost [>AbArchangelWatch], čímž sníží poškození o {TalentX} po dobu {ArchangelWatch DotLength}.
TlDivineGrace	[>AbDivineGrace]
TrDivineGrace	Po použití dovedností [>AbFlashHeal], [>AbSacrament] a [>AbTwinHeal] zvyšuje zdraví o {TalentX} na {DivineGrace DotLength}. Může být opakováno až 3 krát po sobě.
TlGodlyGuidance	Cesta boží
TrGodlyGuidance	Snižuje o {LowerManaCost} množství many potřebné k použití dovedností s léčivými účinky.
TlBlindFaith	Slepá víra
TrBlindFaith	Zvyšuje hodnotu vlastnosti [>Haste] o {Haste}.
TlRenewal	Bonusová obnova
TrRenewal	Natáhne časovač dovednosti [>AbRenew] o 1 tik.
TlBlessedSpirit	[>AbBlessedSpirit]

//=== Healer - Necromancer
TlNecromancer	[>SpecNecromancer]
TrNecromancer	Zvyšuje hodnotu vlastnosti [>HP] o {HealNecroRoot}.
TlDeadKingdom	Síla království mrtvých
TrDeadKingdom	Celá banda získá {Talent HealNecroDeadKingdom Condition Random} šanci na obnovu {TalentX} maximálního množství many při Tebou způsobeném poškození dovednostmi [>AbSoulSucking] a [>AbSoulEater], a {Talent HealNecroDeadKingdomC Condition Random} šanci při poškození způsobeným automatickým útokem.
TlTheChosenOne	Vyvolen[:ý|á]
TrTheChosenOne	Zvyšuje o {Damage G} the final healing of [>AbSealOfNecromancy].
TlFromDeathComesLife	[>AbFromDeathComesLife]
TrFromDeathComesLife	Pokud se Tvé zdraví dostane na <color=red>0</color>, tak na všechny aktivní členy party je aplikována dovednost [>AbFromDeathComesLife], čímž je uzdraví na {FromDeathComesLife DotTotalDmg} HP po dobu {FromDeathComesLife DotLength}.\n\nNemůže se opakovat častěji než jednou za minutu.
TlOpenBuffet	Občerstvení zdarma
TrOpenBuffet	Zvyšuje o {TalentX} léčení způsobené dovedností [>AbEatMyFlesh]. Poškození se nemění.
TlSoulFeast	Duševní hostina
TrSoulFeast	Použití dovednosti [>AbSoulSucking] uzdraví dalšího člena bandy o {TalentX} původního léčení.
TlLateSupper	Svačinka
TrLateSupper	Natáhne časovač dovenosti [>AbSoulEater] o {AddDotTick f} tik(y), ale zároveň zvýší pauzu mezi použitími o {CoolDown B}.
TlShadowArmy	[>AbShadowArmy]
TrShadowArmy	Při použití dovednosti [>AbArmyOfDarkness] aplikuje dovednost [>AbShadowArmy] na celou bandu, čímž sniží veškeré příchozí poškození o {TalentX} po dobu {ShadowArmy DotLength}.
TlAngrySpirits	Poltergeist
TrAngrySpirits	Zvyšuje poškození Tvých útočných dovedností o {Damage}.
TlDarkArts	Temná umění
TrDarkArts	Zvyšuje Tvé maximální množství many o {TalentX}.
TlOneFootInBothWorld	Nohama na zemi // One Foot in Both Worlds
TrOneFootInBothWorld	Snižuje příchozí poškození o {TalentX G}.
TlLastBreath	[>AbLastBreath]
TrLastBreath	Přidá účinky dovednosti [>AbLastBreath] cíli dovednosti [>AbLastIncantation], čímž dotčené[:mu|] zvýší hodnotu dovednosti [>Haste] o {LastBreath} po dobu {LastBreath DotLength}.

//=== Global Icons
GiAttack	Začni útok
GidAttack	Útok\n\nNejdřív vyber cíl.
GiAttackStop	Zastav útok
GiSelectAll	Označí / Odznačí vybrané členy bandy\n\nPravým tlačítkem uzamčeš / odemčeš aktuální nastavení.
GiHealthPotion	Lektvar zdraví
GidHealthPotion	V inventáři nemáš žádný lektvar zdraví
GiManaPotion	Lektvar many
GidManaPotion	V inventáři nemáš žádný lektvar many
GiInventory	Inventář
GiTalentTree	Strom dovedností
GiChatLog	Historie dialogů
GiMap		Mapa\n\nPoklikem na mapu přidáš poznámku.\nPoklikem na poznámku sputíš její editaci.\nPoznámku smažeš klikem pravým tlačítkem.\nPoznámku lze přetáhnout tahem za špendlík.\nKlikni na špenlík a poznámka se rozbalí nebo naopak sbalí.
GiClose		Zavři
GiMenu		Systémové menu

NoteColor	Změna barvy pro nové poznámky

InInventory	\n\nIn Inventory: {0}
LogWin		"DungeonGuardians_Data\output_log.txt" (within the installation folder)
LogOsx		~/Library/Logs/Unity/Player.log
LogLinux	~/.config/unity3d/CompanyName/ProductName/Player.log
LogWhere	Location Unknown ; check this page to know where to find the log file http://docs.unity3d.com/Manual/LogFiles.html
